Anon!	Goodbye!
Here’s snip and nip and cut and slish and slash, Like to a censer in a barber’s shop.	Here’s snip and nip and cut and slish and slash, like a censer in a barber’s shop.
Then bid adieu to me, and say the tears Belong to Egypt.	Then ask for adieu and say the tears are coming to Egypt.
But, as I can learn, He hearkens after prophecies and dreams, And from the crossrow plucks the letter  And says a wizard told him that by “G” His issue disinherited should be.	But I can learn, he hears after prophecies and dreams, and he plucks the letter from the crossrow and says a wizard told him that his issue should be disinherited by “G”.
Is my father well?	Is my father well?
My liege, here is a villain and a traitor, that, look your Grace, has struck the glove which your Majesty is take out of the helmet of Alençon.	My liege, here is a villain and a traitor, who, look at your Grace, has struck the glove that your Majesty is taking out of Alençon’s helmet.
Dolabella, I shall remain your debtor.	Dolabella, I’ll remain your debtor.
Come, come, wrestle with thy affections.	Come, come, fight with your affections.
Do all men kill the things they do not love?	Do all men kill the things they don’t love?
Enough, Captain.	Enough, Captain.
Smatter with your gossips, go.	Smatter with your gossips, go.
If not, the Fates with traitors do contrive.	If not, the Fates are threatening to fight with traitors.
Oh, I die for food.	Oh, I die for food.
Being entertained for a perfumer, as I was smoking a musty room, comes me the Prince and Claudio, hand in hand, in sad conference.	I’m a perfumer, as I was smoking a musty room, and I’m the Prince and Claudio, hand in hand, in a sad conference.
He bears him like a portly gentleman, And, to say truth, Verona brags of him To be a virtuous and well-governed youth.	He’s like a handsome gentleman, and, to say the truth, Verona is brags about him as a virtuous and well-governed young man.
This is his sword.	This is his sword.
Have patience and endure.	Have patience and endure.
Or if it did not, Your first is dead, or ’twere as good he were, As living here and you no use of him.	Or if it didn’t, your first one is dead or was as good as his own, as he was living here and you didn’t use him.
Speak your office.	Tell me your job.
Calls my lord?	Is that my lord?
No, I will not cast away my physic but on those that are sick.	No, I won’t give my physic advice to those who are sick.
Amen!	Amen!
Come with a thought.	Come with a thought.
But on thy side I may not be too forward, Lest, being seen, thy brother, tender George, Be executed in his father’s sight.	But I can’t be too far away, so I can’t be executed in his father’s sight.
A friendly eye could never see such faults.	A friendly eye could never see such faults.
And what have kings that privates have not too, Save ceremony, save general ceremony?	And what are kings that privates haven’t too, except ceremony, except general ceremony?
And for his cowardship, ask Fabian.	And for his cowardly attitude, ask Fabian.
I was hurt under your arm.	I was hurt under your arm.
Villains, you did not so when your vile daggers Hacked one another in the sides of Caesar.	Villains, you didn’t do that when your vile daggers hacked one another in Caesar’s sides.
Tis very true.	That’s very true.
Where lies your text?	Where is your text?
All with me’s meet that I can fashion fit.	I’ll meet you all with you so I can make it fit.
But one fiend at a time, I’ll fight their legions o'er.	I’ll fight their legions one at a time.
An you be mine, I’ll give you to my friend.	If you’re mine, I’ll give you to my friend.
Cousins, I hope the days are near at hand That chambers will be safe.	Cousins, I hope the days are near here that the rooms will be safe.
My lord, I have news to tell you.	My lord, I have news to tell you.
Go seek the traitor Gloucester.	Go find the traitor Gloucester.
That shall she.	That will be her.
Before the time be out?	Before the time comes out?
First, forward to the temple.	First, go to the temple.
Oh, these flaws and starts, Impostors to true fear, would well become A woman’s story at a winter’s fire, Authorized by her grandam.	Oh, these flaws and starts, which are a real threat, would well be a woman’s story in a winter’s fire, authorized by her grandma.
All three Now marry in an instant.	All three of us are married now in a moment.
Quickly let me have it.	Let me have it quickly.
I am not in a sportive humor now.	I’m not in a sporty mood now.
Peaseblossom.	Peaseblossom.
I saw her laid low in her kindred’s vault And presently took post to tell it you.	I saw her laid in her kindred’s vault and took the post to tell you.
O, do not swear, my lord of Buckingham!	Oh, don’t swear, my lord of Buckingham!
To his father, that so tenderly and entirely loves him.	He’s so sweet and loving to him.
As I suck blood, I will some mercy show.	As I suck blood, I’ll show some mercy.
Crystal is muddy.	Crystal is muddy.
That will I, for I must bear answer back How you excuse my brother, Rosalind.	I will, because I have to answer back how you excuse my brother, Rosalind.
Cousin, you apprehend passing shrewdly.	Cousin, you’re apprehending shrewdly.
Send him but hither and I’ll fashion him.	Send him here, and I’ll make him look like a man.
Why, would that have mended my hair?	Why, would that have ruined my hair?
That’s the end.	That’s the end.
He’s now in Florence.	He’s in Florence now.
I dreamt a dream tonight.	I dreamed of a dream tonight.
Be wary, then.	Be careful then.
Seek him, Titinius, whilst I go to meet The noble Brutus, thrusting this report Into his ears.	Look for him, Titinius, while I’m going to meet the noble Brutus, thrusting this report into his ears.
It was wont to hold me but while one tells twenty.	It was wont be enough to hold me until twenty people tell me.
And laid the love juice on some true love’s sight.	And he put the love juice on some true love’s sight.
Is this the Prince?	Is this the Prince?
I might have saved her.	I could have saved her.
And, as you said (and wisely was it said) 'Tis meet that some more audience than a mother— Since nature makes them partial—should o'erhear The speech, of vantage.	And, as you said (and was it wisely said), it’s important to see that some more people than a mother—because nature makes them partial—should listen to the speech, from vantage.
Sure, ’tis not so.	Yes, it’s not true.
Come, come, do you think I do not know you by your excellent wit?	Come on, do you think I don’t know you by your excellent wit?
Mark how he trembles in his ecstasy.	Listen to how he trembles in his ecstasy.
Your power and your command is taken off And Cassio rules in Cyprus.	Your power and your command are taken off, and Cassio is king in Cyprus.
I had rather have this tongue cut from my mouth Than it should do offence to Michael Cassio.	I’d rather cut this tongue from my mouth than give off Michael Cassio.
No, sir, it is legs and thighs.	No, it’s legs and thighs.
I have known when he would have walked ten mile afoot to see a good armor, and now will he lie ten nights awake carving the fashion of a new doublet.	I’ve known when he would have walked ten miles to see a good armor, and now he’ll lie ten nights awake carving the fashion of a new doublet.
Happily met, the happier for thy son.	The happier you were for your son.
Good sir, be patient.	Good sir, be patient.
